"Category","Album","Word","Meaning","PartOfSpeech","Pronunciation","Example_English","Example_Vietnamese"
"30_Days_TOEIC","RL1","hold","cầm nắm vật gì đó bằng tay","verb","/hoʊld/","She held the microphone close to her mouth during the speech.","Cô ấy cầm micro sát miệng trong suốt bài phát biểu."
"30_Days_TOEIC","RL1","arrange","sắp xếp","verb","/əˈreɪndʒ/","The assistant arranged chairs in a circle for the discussion.","Trợ lý đã sắp xếp các ghế thành vòng tròn cho buổi thảo luận."
"30_Days_TOEIC","RL1","arrangement","sự sắp xếp, kế hoạch tổ chức","noun","/əˈreɪndʒ.mənt/","All travel arrangements have been confirmed by the agent.","Tất cả các sắp xếp đi lại đã được đại lý xác nhận."
"30_Days_TOEIC","RL1","rearrange","sắp xếp lại","verb","/ˌriː.əˈreɪndʒ/","He had to rearrange the books to fit them all on one shelf.","Anh ấy phải sắp xếp lại sách để chúng vừa khít trên một giá."
"30_Days_TOEIC","RL1","pass","đi qua","verb","/pæs/","A train is passing through the tunnel right now.","Một đoàn tàu đang đi qua đường hầm ngay lúc này."
"30_Days_TOEIC","RL1","pass","đưa cho người khác","verb","/pæs/","Please pass me the folder on your left.","Làm ơn đưa cho tôi tập tài liệu bên tay trái bạn."
"30_Days_TOEIC","RL1","passage","hành lang hoặc lối đi","noun","/ˈpæs.ɪdʒ/","The emergency exit is located at the end of the passage.","Lối thoát hiểm nằm ở cuối hành lang."
"30_Days_TOEIC","RL1","hand","đưa cho","verb","/hænd/","He handed the documents to the receptionist.","Anh ấy đã đưa tài liệu cho lễ tân."
"30_Days_TOEIC","RL1","reach","vươn tới, chạm vào hoặc lấy thứ gì đó","verb","/riːtʃ/","He reached into his bag to find his keys.","Anh ấy thò tay vào túi để tìm chìa khóa."
"30_Days_TOEIC","RL1","reach","đạt được","verb","/riːtʃ/","The team reached a conclusion after hours of discussion.","Nhóm đã đi đến kết luận sau nhiều giờ thảo luận."
