"Album","Word","Meaning","PartOfSpeech","Pronunciation","Example_English","Example_Vietnamese"
"ETS-LC-1","wait in line","xếp hàng chờ","verb","/weɪt ɪn laɪn/","Customers had to wait in line for over an hour.","Khách hàng phải xếp hàng chờ hơn một giờ."
"ETS-LC-1","wipe off","lau sạch, xóa sạch","verb","/waɪp ɔːf/","She used a cloth to wipe off the table.","Cô ấy dùng khăn để lau sạch bàn."
"ETS-LC-1","throw away","vứt bỏ","verb","/θroʊ əˈweɪ/","Please throw away your trash after the meal.","Vui lòng vứt rác sau bữa ăn."
"ETS-LC-1","shovel","xúc bằng xẻng","verb","/ˈʃʌv.əl/","Workers are shoveling snow off the walkway.","Công nhân đang xúc tuyết khỏi lối đi."
"ETS-LC-1","rearrange","sắp xếp lại","verb","/ˌriː.əˈreɪndʒ/","They had to rearrange the chairs before the event.","Họ phải sắp xếp lại ghế trước sự kiện."
"ETS-LC-1","vehicle","phương tiện di chuyển","noun","/ˈviː.ə.kəl/","The parking lot was full of delivery vehicles.","Bãi đỗ xe đầy các xe giao hàng."
"ETS-LC-1","rack","giá đỡ đồ vật","noun","/ræk/","She placed the files on the top rack.","Cô ấy đặt các tài liệu lên giá trên cùng."
"ETS-LC-1","stack","xếp chồng gọn gàng","verb","/stæk/","They stacked the boxes in the storage room.","Họ đã xếp các hộp trong phòng lưu trữ."
"ETS-LC-1","sweep","quét dọn","verb","/swiːp/","The worker is sweeping the floor near the entrance.","Người lao công đang quét sàn gần lối vào."
"ETS-LC-1","material","vật liệu","noun","/məˈtɪr.i.əl/","The materials are stored in the supply room.","Vật liệu được lưu trữ trong phòng vật tư."
"ETS-LC-1","mostly","phần lớn, chủ yếu","adverb","/ˈmoʊst.li/","The staff is mostly composed of interns.","Nhân viên chủ yếu là thực tập sinh."
"ETS-LC-1","tenant","người thuê nhà","noun","/ˈten.ənt/","Each tenant is responsible for keeping their unit clean.","Mỗi người thuê chịu trách nhiệm giữ gìn căn hộ của mình sạch sẽ."
"ETS-LC-1","vendor","nhà cung cấp","noun","/ˈven.dɚ/","The company signed a contract with a new vendor.","Công ty đã ký hợp đồng với một nhà cung cấp mới."
"ETS-LC-1","maintenance","sự bảo trì, bảo dưỡng","noun","/ˈmeɪn.tən.əns/","Elevators are closed due to scheduled maintenance.","Thang máy tạm ngừng do bảo trì theo lịch."
"ETS-LC-1","personnel","nhân sự","noun","/ˌpɝː.sənˈel/","The company hired additional personnel for the project.","Công ty tuyển thêm nhân sự cho dự án."
"ETS-LC-1","division","bộ phận trong tổ chức","noun","/dɪˈvɪʒ.ən/","He works in the sales division at headquarters.","Anh ấy làm việc tại bộ phận bán hàng ở trụ sở chính."
"ETS-LC-1","corridor","hành lang","noun","/ˈkɔrɪdɔr/","He hurried down the hotel corridor, anxious to reach his room in time.","Anh vội vã đi qua hành lang khách sạn, lo lắng sẽ đến phòng đúng giờ."
"ETS-LC-1","achieve","đạt được","verb","/əˈtʃiːv/","She worked tirelessly to achieve her target sales for the quarter.","Cô làm việc không mệt mỏi để đạt được chỉ tiêu doanh số cho quý."
"ETS-LC-1","turn out","diễn ra, phát triển theo cách nhất định","phrasal verb","/tɜːrn aʊt/","Despite the rain, the event turned out a huge success.","Mặc dù trời mưa, sự kiện vẫn thành công vang dội."
"ETS-LC-1","available","có sẵn","adjective","/əˈveɪləbl/","The data is available online for researchers to review.","Dữ liệu có sẵn trực tuyến để các nhà nghiên cứu xem xét."
"ETS-LC-1","prototype","nguyên mẫu","noun","/ˈproʊtətaɪp/","Engineers unveiled a prototype of the next-generation smartphone.","Các kỹ sư đã công bố nguyên mẫu của điện thoại thông minh thế hệ tiếp theo."
"ETS-LC-1","nominate","đề cử ai cho vị trí hoặc giải thưởng","verb","/ˈnɑːməneɪt/","She was nominated for the employee of the year award.","Cô được đề cử cho giải nhân viên của năm."
"ETS-LC-1","organize","sắp xếp","verb","/ˈɔːrɡənaɪz/","The assistant helped organize the documents for the meeting.","Trợ lý đã giúp sắp xếp tài liệu cho cuộc họp."
"ETS-LC-1","prescription","đơn thuốc","noun","/prɪˈskrɪpʃən/","The pharmacist filled my prescription within ten minutes.","Dược sĩ đã chuẩn bị đơn thuốc của tôi trong vòng mười phút."
"ETS-LC-1","fund-raiser","buổi gây quỹ","noun","/ˈfʌndˌreɪ.zɚ/","The company held a fund-raiser to support local schools.","Công ty tổ chức một buổi gây quỹ để hỗ trợ các trường học địa phương."
"ETS-LC-1","merchandise","hàng hóa","noun","/ˈmɜːrtʃəndaɪs/","The store displayed new merchandise on the front shelves.","Cửa hàng trưng bày hàng hóa mới ở kệ phía trước."
"ETS-LC-1","accounting","kế toán","noun","/əˈkaʊntɪŋ/","She studied accounting before joining the finance department.","Cô đã học kế toán trước khi gia nhập phòng tài chính."
"ETS-LC-1","invoice","hóa đơn","noun","/ˈɪnvɔɪs/","Please submit the invoice by the end of the week.","Vui lòng nộp hóa đơn trước cuối tuần."
"ETS-LC-1","authorize","cấp phép chính thức","verb","/ˈɔːθəraɪz/","Only managers are authorized to approve overtime requests.","Chỉ các quản lý mới được phép phê duyệt yêu cầu làm thêm giờ."
"ETS-LC-1","uneventful","không có sự kiện đặc biệt, bình lặng","adj","/ˌʌnɪˈventfl/","The trip was long but uneventful, with no delays or problems.","Chuyến đi dài nhưng yên ả, không có trục trặc hay sự cố."
"ETS-LC-1","behind schedule","chậm tiến độ","preposition","/bɪˈhaɪnd ˈskedʒuːl/","The project is currently behind schedule due to supply delays.","Dự án hiện đang chậm tiến độ do trì hoãn nguồn cung."
"ETS-LC-1","hospitality","sự hiếu khách","noun","/ˌhɑːspɪˈtæləti/","We appreciated the warm hospitality during our business trip.","Chúng tôi trân trọng sự hiếu khách nồng hậu trong chuyến công tác."
"ETS-LC-1","meteorology","khí tượng học","noun","/ˌmiːtiəˈrɑːlədʒi/","He studied meteorology to become a weather forecaster.","Anh ấy học khí tượng học để trở thành người dự báo thời tiết."
"ETS-LC-1","absent","vắng mặt","adj","/ˈæbsənt/","The manager was absent during the client meeting.","Người quản lý đã vắng mặt trong cuộc họp với khách hàng."
"ETS-LC-1","stamp","tem thư","noun","/stæmp/","He placed the stamp on the top-right corner of the envelope.","Anh ấy dán tem vào góc trên bên phải của phong bì."
"ETS-LC-1","retirement","nghỉ hưu","noun","/rɪˈtaɪərmənt/","He saved regularly to prepare for his retirement.","Anh ấy tiết kiệm thường xuyên để chuẩn bị cho việc nghỉ hưu."
"ETS-LC-1","demonstrate","chứng minh, hướng dẫn cách làm hoặc hoạt động của cái gì đó","verb","/ˈdemənstreɪt/","The technician demonstrated how to operate the new copier.","Kỹ thuật viên đã hướng dẫn cách vận hành máy photocopy mới."
"ETS-LC-1","compact","nhỏ gọn, tiết kiệm không gian","adj","/ˈkɑːmpækt/","The hotel room was compact but had everything we needed.","Phòng khách sạn nhỏ gọn nhưng có đầy đủ mọi thứ chúng tôi cần."
"ETS-LC-1","registration","quá trình đăng ký","noun","/ˌredʒɪˈstreɪʃən/","Online registration is required to attend the workshop.","Cần đăng ký trực tuyến để tham gia hội thảo."
"ETS-LC-1","reduction","giảm giá, giảm bớt","noun","/rɪˈdʌkʃən/","The store offered a price reduction on selected items.","Cửa hàng giảm giá cho một số mặt hàng được chọn."
"ETS-LC-1","ingredient","nguyên liệu","noun","/ɪnˈɡriː.di.ənt/","The chef always uses fresh ingredients to prepare meals.","Đầu bếp luôn sử dụng nguyên liệu tươi để chuẩn bị bữa ăn."
