"Category","Album","Word","Meaning","PartOfSpeech","Pronunciation","Example_English","Example_Vietnamese"
"Listening_Topics","Su-co-ky-thuat-LC","report","báo cáo","verb","/rɪˈpɔːrt/","Customers are encouraged to report any technical problems immediately.","Khách hàng được khuyến khích báo cáo ngay bất kỳ sự cố kỹ thuật nào."
"Listening_Topics","Su-co-ky-thuat-LC","problem","vấn đề khó khăn","noun","/ˈprɑː.bləm/","There seems to be a problem with the printer connection.","Có vẻ như có sự cố với kết nối máy in."
"Listening_Topics","Su-co-ky-thuat-LC","call","gọi điện","verb","/kɔːl/","I'm calling because my computer won't start.","Tôi gọi vì máy tính của tôi không khởi động được."
"Listening_Topics","Su-co-ky-thuat-LC","technical","liên quan đến kỹ thuật","adj","/ˈtek.nɪ.kəl/","The meeting was delayed due to technical difficulties.","Cuộc họp bị trì hoãn do sự cố kỹ thuật."
"Listening_Topics","Su-co-ky-thuat-LC","support","sự hỗ trợ, giúp đỡ kỹ thuật","noun","/səˈpɔːrt/","Contact technical support if the problem continues.","Liên hệ bộ phận hỗ trợ kỹ thuật nếu sự cố vẫn tiếp diễn."
"Listening_Topics","Su-co-ky-thuat-LC","copier","máy photocopy","noun","/ˈkɑː.pi.ɚ/","The copier is jammed and not producing any copies.","Máy photocopy bị kẹt và không in ra bản sao nào."
"Listening_Topics","Su-co-ky-thuat-LC","photocopier","máy photocopy","noun","/ˈfoʊ.t̬oʊˌkɑː.pi.ɚ/","The photocopier is out of toner again.","Máy photocopy lại hết mực rồi."
"Listening_Topics","Su-co-ky-thuat-LC","projector","máy chiếu","noun","/prəˈdʒek.tɚ/","There’s a problem with the projector—it won’t turn on.","Có sự cố với máy chiếu – nó không khởi động được."
"Listening_Topics","Su-co-ky-thuat-LC","printer","máy in","noun","/ˈprɪn.tɚ/","The printer isn't responding and shows an error message.","Máy in không phản hồi và hiển thị thông báo lỗi."
"Listening_Topics","Su-co-ky-thuat-LC","technical support department","bộ phận hỗ trợ kỹ thuật","noun","/ˈtek.nɪ.kəl səˈpɔːrt dɪˌpɑːrt.mənt/","Please contact the technical support department for assistance.","Vui lòng liên hệ bộ phận hỗ trợ kỹ thuật để được hỗ trợ."
"Listening_Topics","Su-co-ky-thuat-LC","maintenance department","bộ phận bảo trì","noun","/ˈmeɪn.tən.əns dɪˌpɑːrt.mənt/","The maintenance department will inspect the HVAC system tomorrow.","Bộ phận bảo trì sẽ kiểm tra hệ thống điều hòa vào ngày mai."
"Listening_Topics","Su-co-ky-thuat-LC","repair","sửa chữa","verb","/rɪˈper/","They are working to repair the broken projector.","Họ đang sửa máy chiếu bị hỏng."
"Listening_Topics","Su-co-ky-thuat-LC","repair","sửa chữa","noun","/rɪˈper/","The printer is out of service and needs repair.","Máy in đang bị hỏng và cần sửa chữa."
"Listening_Topics","Su-co-ky-thuat-LC","fix","sửa chữa","verb","/fɪks/","The technician is coming to fix the printer this afternoon.","Kỹ thuật viên sẽ đến sửa máy in vào chiều nay."
"Listening_Topics","Su-co-ky-thuat-LC","stationery","đồ dùng văn phòng","noun","/ˈsteɪ.ʃə.ner.i/","We’re running low on stationery and need to order more.","Chúng tôi sắp hết đồ dùng văn phòng và cần đặt thêm."
"Listening_Topics","Su-co-ky-thuat-LC","paper tray","khay giấy máy in","phrase","/ˈpeɪ.pɚ treɪ/","The printer is jammed because the paper tray is overloaded.","Máy in bị kẹt vì khay giấy bị nhét quá nhiều."
"Listening_Topics","Su-co-ky-thuat-LC","printer paper","giấy in","phrase","/ˈprɪn.tɚ ˈpeɪ.pɚ/","We can’t print the report because we’re out of printer paper.","Chúng tôi không thể in báo cáo vì đã hết giấy in."
"Listening_Topics","Su-co-ky-thuat-LC","out of order","bị hỏng, không hoạt động","phrase","/ˌaʊt əv ˈɔːr.dɚ/","The copier is out of order and needs repair.","Máy photocopy bị hỏng và cần được sửa chữa."
"Listening_Topics","Su-co-ky-thuat-LC","have trouble with","gặp khó khăn với","phrase","/hæv ˈtrʌ.bəl wɪð/","We’re having trouble with the wireless connection.","Chúng tôi đang gặp sự cố với kết nối không dây."
"Listening_Topics","Su-co-ky-thuat-LC","have a problem with","gặp sự cố với","phrase","/hæv ə ˈprɑː.bləm wɪð/","I have a problem with the printer—it keeps jamming.","Tôi gặp sự cố với máy in – nó liên tục bị kẹt giấy."
"Listening_Topics","Su-co-ky-thuat-LC","make a copy","sao chép tài liệu","verb","/meɪk ə ˈkɑː.pi/","I need to make a copy of this contract before the meeting.","Tôi cần sao chép hợp đồng này trước cuộc họp."
"Listening_Topics","Su-co-ky-thuat-LC","work properly","hoạt động bình thường","phrase","/wɝːk ˈprɑː.pɚ.li/","The scanner isn't working properly—it skips pages.","Máy quét không hoạt động bình thường – nó bỏ sót trang."
"Listening_Topics","Su-co-ky-thuat-LC","work smoothly","hoạt động trơn tru","phrase","/wɝːk ˈsmuːð.li/","The system is expected to work smoothly after the update.","Hệ thống dự kiến sẽ hoạt động trơn tru sau khi cập nhật."
