"Category","Album","Word","Meaning","PartOfSpeech","Pronunciation","Example_English","Example_Vietnamese"
"Part7_Topics","dat-hang-p7","account","tài khoản","noun","/əˈkaʊnt/","You may view your account details","including account balance, recent charges, and payments received at any time by accessing your account online."
"Part7_Topics","dat-hang-p7","cancel","hủy bỏ","verb","/ˈkæn.səl/","If you would like to cancel your ticket, please call","212 555-8843."
"Part7_Topics","dat-hang-p7","charge","khoản phí","noun","/tʃɑːrdʒ/","Shipping charges are calculated based on the delivery destination.","Phí vận chuyển được tính dựa trên điểm giao hàng."
"Part7_Topics","dat-hang-p7","confirm","xác nhận","verb","/kənˈfɝːm/","Please confirm your attendance by replying to this e-mail.","Vui lòng xác nhận việc bạn tham dự bằng cách phản hồi email này."
"Part7_Topics","dat-hang-p7","fee","phí dịch vụ","noun","/fiː/","There is a $25 application fee for the craft fair.","Có phí nộp đơn 25 đô la cho hội chợ thủ công."
"Part7_Topics","dat-hang-p7","no later than","không muộn hơn","preposition","/noʊ ˈleɪ.t̬ɚ ðæn/","Please submit the report no later than Friday.","Vui lòng nộp báo cáo không muộn hơn thứ Sáu."
"Part7_Topics","dat-hang-p7","place an order","đặt hàng","verb","/pleɪs ən ˈɔːr.dɚ/","Customers will receive a receipt when they place an order.","Khách hàng sẽ nhận được hóa đơn khi họ đặt hàng."
"Part7_Topics","dat-hang-p7","purchase","mua hàng","verb","/ˈpɝː.tʃəs/","You may return your purchase within 30 days for a full refund.","Bạn có thể trả lại món hàng đã mua trong vòng 30 ngày để được hoàn tiền đầy đủ."
"Part7_Topics","dat-hang-p7","refund","hoàn tiền","noun","/ˈriː.fʌnd/","Cancellations up to one day before the tour will receive a 50% refund.","Hủy trước một ngày so với chuyến tham quan sẽ được hoàn lại 50%."
"Part7_Topics","dat-hang-p7","reserve","đặt trước","verb","/rɪˈzɝːv/","You can reserve your seats online for the workshop.","Bạn có thể đặt chỗ trực tuyến cho buổi hội thảo."
"Part7_Topics","dat-hang-p7","return","trả lại hàng","verb","/rɪˈtɝːn/","Customers may return items within 14 days of purchase.","Khách hàng có thể trả lại hàng trong vòng 14 ngày kể từ khi mua."
"Part7_Topics","dat-hang-p7","ship","gửi hàng","verb","/ʃɪp/","We ship all international orders within three business days.","Chúng tôi giao tất cả đơn hàng quốc tế trong vòng ba ngày làm việc."
"Part7_Topics","dat-hang-p7","submit","nộp hoặc gửi thông tin để xử lý","verb","/səbˈmɪt/","Please submit your order by 5 P.M. to ensure next-day delivery.","Vui lòng nộp đơn hàng trước 5 giờ chiều để đảm bảo giao hàng vào ngày hôm sau."
"Part7_Topics","dat-hang-p7","verify","xác minh tính chính xác","verb","/ˈver.ə.faɪ/","You will receive a code to verify your order before payment is processed.","Bạn sẽ nhận được mã để xác minh đơn hàng trước khi thanh toán được xử lý."
"Part7_Topics","cam-on-cao-loi-p7","apologize","xin lỗi","verb","/əˈpɑː.lə.dʒaɪz/","We sincerely apologize for the inconvenience caused by the delay.","Chúng tôi chân thành xin lỗi vì sự bất tiện do việc chậm trễ gây ra."
"Part7_Topics","cam-on-cao-loi-p7","as a token of appreciation","như một biểu hiện lòng cảm kích","phrase","/æz ə ˈtoʊ.kən əv əˌpriː.ʃiˈeɪ.ʃən/","As a token of appreciation, we are offering you a 10% discount on your next order.","Như một lời cảm ơn, chúng tôi tặng bạn giảm giá 10% cho đơn hàng tiếp theo."
"Part7_Topics","cam-on-cao-loi-p7","be delighted to","rất vui được làm gì đó","phrase","/dɪˈlaɪ.t̬ɪd tuː/","We would be delighted to assist you with your inquiry.","Chúng tôi rất vui được hỗ trợ bạn với yêu cầu của bạn."
"Part7_Topics","cam-on-cao-loi-p7","damaged","bị hỏng hoặc tổn hại","adj","/ˈdæm.ɪdʒd/","We apologize for the damaged item and will send a replacement.","Chúng tôi xin lỗi vì món hàng bị hỏng và sẽ gửi món thay thế."
