"Album","Word","Meaning","PartOfSpeech","Pronunciation","Example_English","Example_Vietnamese"
"ETS-RC-1","passenger","hành khách","noun","/ˈpæs.ən.dʒər/","The airline ensures every passenger receives assistance during boarding.","Hãng hàng không đảm bảo mỗi hành khách đều được hỗ trợ trong lúc lên máy bay."
"ETS-RC-1","responsibility","trách nhiệm","noun","/rɪˌspɑːn.səˈbɪl.ə.ti/","It is the manager’s responsibility to oversee the project’s progress.","Trách nhiệm của người quản lý là giám sát tiến độ dự án."
"ETS-RC-1","separate","tách ra, chia rẽ, không liên quan","verb","/ˈsep.ər.ət/","Please separate the recyclable materials from regular trash.","Vui lòng tách các vật liệu có thể tái chế ra khỏi rác thải thường."
"ETS-RC-1","willing","sẵn lòng","adj","/ˈwɪl.ɪŋ/","She is willing to work overtime to meet the project deadline.","Cô ấy sẵn lòng làm thêm giờ để hoàn thành dự án đúng hạn."
"ETS-RC-1","assorted","đa dạng, hỗn hợp nhiều loại","adj","/əˈsɔːr.tɪd/","The gift basket contained assorted chocolates and snacks.","Giỏ quà chứa các loại socola và đồ ăn nhẹ đa dạng."
"ETS-RC-1","limited","bị giới hạn, hạn chế","adj","/ˈlɪm.ɪ.tɪd/","Access to the VIP lounge is limited to authorized personnel only.","Quyền truy cập phòng VIP chỉ giới hạn cho nhân viên được phép."
"ETS-RC-1","prohibit","cấm, ngăn cấm","verb","/prəˈhɪb.ɪt/","Smoking is strictly prohibited inside the office building.","Hút thuốc bị nghiêm cấm bên trong tòa nhà văn phòng."
"ETS-RC-1","authority","quyền hạn, cơ quan có thẩm quyền","noun","/əˈθɔːr.ə.ti/","The local authorities have issued a warning about the upcoming storm.","Cơ quan chức năng địa phương đã đưa ra cảnh báo về cơn bão sắp tới."
"ETS-RC-1","transport","vận chuyển, giao thông","noun","/ˈtræn.spɔːrt/","Public transport in the city includes buses, trains, and trams.","Phương tiện giao thông công cộng trong thành phố bao gồm xe buýt, tàu điện và xe điện."
"ETS-RC-1","budget","ngân sách, dự toán chi phí","noun","/ˈbʌdʒ.ɪt/","The department must work within a strict budget this quarter.","Bộ phận phải hoạt động trong phạm vi ngân sách nghiêm ngặt của quý này."
"ETS-RC-1","temporarily","tạm thời","adverb","/ˌtem.pəˈrer.ɪ.li/","The office will be temporarily closed for renovations next week.","Văn phòng sẽ tạm thời đóng cửa để sửa chữa vào tuần tới."
"ETS-RC-1","competitively","một cách cạnh tranh","adverb","/kəmˈpet̬.ɪ.tɪv.li/","Our products are priced competitively to attract more customers.","Sản phẩm của chúng tôi được định giá cạnh tranh để thu hút nhiều khách hàng hơn."
"ETS-RC-1","collectively","một cách tập thể","adverb","/kəˈlek.tɪv.li/","The team collectively decided to delay the project deadline.","Nhóm đã cùng nhau quyết định hoãn thời hạn dự án."
"ETS-RC-1","reinforcement","sự củng cố, tăng cường","noun","/ˌriː.ɪnˈfɔːrs.mənt/","The company sent reinforcement staff to help meet the tight deadline.","Công ty đã cử nhân viên bổ sung để giúp hoàn thành đúng hạn."
"ETS-RC-1","closely","gần gũi, sát sao","adverb","/ˈkloʊs.li/","The manager works closely with the sales team to improve results.","Quản lý làm việc sát sao với nhóm bán hàng để cải thiện kết quả."
"ETS-RC-1","account","tài khoản, lý do giải thích","noun","/əˈkaʊnt/","Please provide your account number when calling customer service.","Vui lòng cung cấp số tài khoản khi gọi dịch vụ khách hàng."
"ETS-RC-1","expect","mong đợi, trông chờ","verb","/ɪkˈspekt/","We expect the new software to improve productivity.","Chúng tôi mong đợi phần mềm mới sẽ cải thiện năng suất."
"ETS-RC-1","board","ban giám đốc, bảng, lên tàu, lên máy bay","noun","/bɔːrd/","The board will meet next week to discuss company strategy.","Ban giám đốc sẽ họp vào tuần tới để thảo luận chiến lược công ty."
"ETS-RC-1","in light of","xét đến, cân nhắc đến","preposition","/ɪn laɪt ʌv/","In light of recent events, the meeting has been postponed.","Xét đến các sự kiện gần đây, cuộc họp đã bị hoãn lại."
"ETS-RC-1","supplemental","bổ sung, thêm vào","adj","/ˌsʌp.ləˈmen.təl/","The employee received supplemental training to improve skills.","Nhân viên đã được đào tạo bổ sung để nâng cao kỹ năng."
"ETS-RC-1","arbitrary","tùy ý, không có căn cứ rõ ràng","adj","/ˈɑːr.bɪ.trer.i/","The manager made an arbitrary decision without consulting the team.","Quản lý đã đưa ra quyết định tùy tiện mà không tham khảo ý kiến nhóm."
"ETS-RC-1","superfluous","thừa thãi, không cần thiết","adj","/suːˈpɜːr.flu.əs/","The report contained superfluous information that was removed.","Báo cáo chứa thông tin thừa thãi đã bị loại bỏ."
"ETS-RC-1","terms","điều khoản, thuật ngữ","noun","/tɜːrmz/","The contract includes terms regarding payment and delivery schedules.","Hợp đồng bao gồm các điều khoản về thanh toán và lịch giao hàng."
"ETS-RC-1","loan","khoản vay","noun","/loʊn/","The bank approved the loan application for the new business.","Ngân hàng đã phê duyệt đơn vay cho doanh nghiệp mới."
"ETS-RC-1","material","vật liệu, nguyên liệu","noun","/məˈtɪr.i.əl/","The construction requires high-quality materials to ensure safety.","Việc xây dựng đòi hỏi vật liệu chất lượng cao để đảm bảo an toàn."
"ETS-RC-1","host","người tổ chức, chủ nhà","noun","/hoʊst/","The company will host a conference for industry leaders next month.","Công ty sẽ tổ chức một hội nghị dành cho các nhà lãnh đạo ngành vào tháng tới."
"ETS-RC-1","contribute","đóng góp, góp phần","verb","/kənˈtrɪb.juːt/","All team members are expected to contribute ideas during the brainstorming session.","Tất cả thành viên nhóm được mong đợi đóng góp ý tưởng trong phiên họp động não."
"ETS-RC-1","planning","việc lên kế hoạch","noun","/ˈplæn.ɪŋ/","Effective planning is essential for the success of any project.","Việc lên kế hoạch hiệu quả là rất cần thiết cho sự thành công của bất kỳ dự án nào."
"ETS-RC-1","proposal","đề xuất, kế hoạch để xem xét","noun","/prəˈpoʊ.zəl/","The team submitted a proposal for a new marketing campaign.","Nhóm đã nộp đề xuất cho một chiến dịch marketing mới."
"ETS-RC-1","innovation","sự đổi mới, sáng tạo","noun","/ˌɪn.əˈveɪ.ʃən/","Innovation is key to staying competitive in the technology market.","Đổi mới là yếu tố then chốt để duy trì tính cạnh tranh trên thị trường công nghệ."
"ETS-RC-1","criticism","sự phê bình, lời chỉ trích","noun","/ˈkrɪt̬.ɪ.sɪ.zəm/","The manager welcomed constructive criticism from the team.","Người quản lý hoan nghênh những lời phê bình mang tính xây dựng từ nhóm."
"ETS-RC-1","approach","tiếp cận, lại gần; cách tiếp cận, phương pháp","verb","/əˈproʊtʃ/","We need to approach the client with a new proposal.","Chúng ta cần tiếp cận khách hàng với một đề xuất mới."
"ETS-RC-1","approach","cách tiếp cận, phương pháp","noun","/əˈproʊtʃ/","Our approach to solving the issue has proven successful.","Cách tiếp cận của chúng tôi trong việc giải quyết vấn đề đã chứng minh hiệu quả."
